Wavelength (nm),Absorbance
2500,0.066701
2499,0.066559
2498,0.066742
2497,0.066506
2496,0.06645
2495,0.066588
2494,0.066474
2493,0.066294
2492,0.066406
2491,0.066503
2490,0.066574
2489,0.066621
2488,0.066752
2487,0.066934
2486,0.067164
2485,0.067307
2484,0.067438
2483,0.06736
2482,0.067528
2481,0.067526
2480,0.067129
2479,0.067416
2478,0.067288
2477,0.067104
2476,0.067306
2475,0.067322
2474,0.067508
2473,0.067404
2472,0.067187
2471,0.067232
2470,0.067276
2469,0.067309
2468,0.067326
2467,0.067306
2466,0.067347
2465,0.067051
2464,0.067325
2463,0.067278
2462,0.067379
2461,0.067262
2460,0.06725
2459,0.067165
2458,0.067173
2457,0.067157
2456,0.067119
2455,0.066902
2454,0.067242
2453,0.067111
2452,0.06722
2451,0.067344
2450,0.06727
2449,0.067275
2448,0.067337
2447,0.067312
2446,0.067309
2445,0.067262
2444,0.067021
2443,0.067273
2442,0.067271
2441,0.067294
2440,0.067213
2439,0.067038
2438,0.067282
2437,0.067336
2436,0.067421
2435,0.067363
2434,0.067395
2433,0.067327
2432,0.067358
2431,0.067394
2430,0.067428
2429,0.067168
2428,0.067451
2427,0.067458
2426,0.067467
2425,0.067468
2424,0.067495
2423,0.067319
2422,0.067236
2421,0.067283
2420,0.067329
2419,0.067348
2418,0.067369
2417,0.067362
2416,0.067372
2415,0.067454
2414,0.067511
2413,0.067397
2412,0.067352
2411,0.067347
2410,0.067596
2409,0.067655
2408,0.067616
2407,0.067554
2406,0.067629
2405,0.067673
2404,0.067667
2403,0.067624
2402,0.06758
2401,0.067526
2400,0.067556
2399,0.067579
2398,0.067531
2397,0.067535
2396,0.067572
2395,0.067617
2394,0.067594
2393,0.067414
2392,0.067392
2391,0.067536
2390,0.067491
2389,0.067489
2388,0.06749
2387,0.067436
2386,0.067467
2385,0.067499
2384,0.067577
2383,0.067549
2382,0.067381
2381,0.067421
2380,0.067557
2379,0.067596
2378,0.067685
2377,0.067616
2376,0.067573
2375,0.067648
2374,0.067623
2373,0.067625
2372,0.067471
2371,0.067429
2370,0.067579
2369,0.067603
2368,0.067669
2367,0.067663
2366,0.067632
2365,0.067709
2364,0.067772
2363,0.067813
2362,0.06774
2361,0.067718
2360,0.067641
2359,0.067598
2358,0.067685
2357,0.067712
2356,0.067738
2355,0.067811
2354,0.067784
2353,0.067735
2352,0.067761
2351,0.067784
2350,0.067764
2349,0.0677
2348,0.067701
2347,0.067688
2346,0.067657
2345,0.067713
2344,0.067716
2343,0.067904
2342,0.068071
2341,0.068052
2340,0.068083
2339,0.068077
2338,0.067891
2337,0.067843
2336,0.067603
2335,0.0675
2334,0.067544
2333,0.067623
2332,0.067552
2331,0.06758
2330,0.06761
2329,0.067732
2328,0.067697
2327,0.067605
2326,0.067572
2325,0.067508
2324,0.067529
2323,0.067501
2322,0.067491
2321,0.067617
2320,0.067599
2319,0.067463
2318,0.067478
2317,0.06758
2316,0.067604
2315,0.067398
2314,0.067434
2313,0.067528
2312,0.067509
2311,0.067486
2310,0.067436
2309,0.067507
2308,0.067531
2307,0.067524
2306,0.067206
2305,0.067469
2304,0.06744
2303,0.067585
2302,0.067672
2301,0.067483
2300,0.067464
2299,0.067533
2298,0.067568
2297,0.067601
2296,0.06752
2295,0.067617
2294,0.067788
2293,0.0677
2292,0.067742
2291,0.067788
2290,0.067733
2289,0.067647
2288,0.067686
2287,0.067644
2286,0.067911
2285,0.067663
2284,0.067704
2283,0.06777
2282,0.067389
2281,0.067632
2280,0.067741
2279,0.067826
2278,0.067695
2277,0.067563
2276,0.06755
2275,0.067764
2274,0.067673
2273,0.067526
2272,0.067629
2271,0.067421
2270,0.067524
2269,0.067358
2268,0.067546
2267,0.067393
2266,0.067385
2265,0.067545
2264,0.067421
2263,0.067138
2262,0.067262
2261,0.06744
2260,0.067129
2259,0.067257
2258,0.067191
2257,0.067119
2256,0.067081
2255,0.06717
2254,0.067312
2253,0.067109
2252,0.06716
2251,0.066876
2250,0.06712
2249,0.066904
2248,0.066896
2247,0.067077
2246,0.067128
2245,0.066938
2244,0.06651
2243,0.066729
2242,0.066916
2241,0.066526
2240,0.066619
2239,0.066477
2238,0.066452
2237,0.066458
2236,0.066422
2235,0.06653
2234,0.066513
2233,0.066296
2232,0.066187
2231,0.06604
2230,0.066192
2229,0.065951
2228,0.066073
2227,0.066067
2226,0.065755
2225,0.065875
2224,0.065863
2223,0.065866
2222,0.065578
2221,0.065497
2220,0.065525
2219,0.065645
2218,0.065452
2217,0.065439
2216,0.065528
2215,0.065281
2214,0.06519
2213,0.065144
2212,0.065175
2211,0.065195
2210,0.065045
2209,0.064906
2208,0.064925
2207,0.064945
2206,0.064852
2205,0.064851
2204,0.064581
2203,0.064608
2202,0.064578
2201,0.064504
2200,0.064627
2199,0.064557
2198,0.064442
2197,0.064341
2196,0.064328
2195,0.064252
2194,0.064129
2193,0.064194
2192,0.0642
2191,0.063956
2190,0.063765
2189,0.063754
2188,0.063801
2187,0.063822
2186,0.06362
2185,0.063621
2184,0.063662
2183,0.063675
2182,0.06365
2181,0.063462
2180,0.063319
2179,0.063163
2178,0.063177
2177,0.063138
2176,0.063196
2175,0.063182
2174,0.063145
2173,0.062989
2172,0.063054
2171,0.062947
2170,0.06281
2169,0.062765
2168,0.062847
2167,0.062729
2166,0.06255
2165,0.062538
2164,0.062474
2163,0.06251
2162,0.062413
2161,0.06232
2160,0.062202
2159,0.062314
2158,0.062401
2157,0.062364
2156,0.062378
2155,0.062127
2154,0.06206
2153,0.062102
2152,0.062078
2151,0.061946
2150,0.061943
2149,0.061962
2148,0.061782
2147,0.061632
2146,0.061637
2145,0.061653
2144,0.061684
2143,0.061627
2142,0.061475
2141,0.061434
2140,0.061373
2139,0.061301
2138,0.061287
2137,0.061316
2136,0.06122
2135,0.061097
2134,0.061077
2133,0.061053
2132,0.061069
2131,0.060846
2130,0.060697
2129,0.060795
2128,0.060855
2127,0.060759
2126,0.060595
2125,0.060603
2124,0.060677
2123,0.060573
2122,0.060518
2121,0.060403
2120,0.060409
2119,0.060337
2118,0.060277
2117,0.06036
2116,0.06027
2115,0.060184
2114,0.060194
2113,0.060192
2112,0.060193
2111,0.060138
2110,0.059936
2109,0.059882
2108,0.059875
2107,0.059849
2106,0.059683
2105,0.059731
2104,0.059821
2103,0.059696
2102,0.05958
2101,0.059683
2100,0.059471
2099,0.059361
2098,0.05942
2097,0.059408
2096,0.059421
2095,0.059214
2094,0.059208
2093,0.059394
2092,0.059318
2091,0.059119
2090,0.059003
2089,0.058985
2088,0.058951
2087,0.058963
2086,0.059099
2085,0.058954
2084,0.058691
2083,0.058759
2082,0.058815
2081,0.058922
2080,0.058789
2079,0.058684
2078,0.05868
2077,0.058807
2076,0.058651
2075,0.058628
2074,0.058452
2073,0.058545
2072,0.058424
2071,0.058381
2070,0.058174
2069,0.058464
2068,0.058357
2067,0.058361
2066,0.05832
2065,0.058337
2064,0.05839
2063,0.058119
2062,0.058065
2061,0.058276
2060,0.05814
2059,0.058111
2058,0.057972
2057,0.057801
2056,0.058122
2055,0.058004
2054,0.057903
2053,0.057924
2052,0.05803
2051,0.058016
2050,0.05789
2049,0.058033
2048,0.058036
2047,0.057957
2046,0.058036
2045,0.05796
2044,0.05755
2043,0.057793
2042,0.057678
2041,0.057846
2040,0.057728
2039,0.057697
2038,0.057594
2037,0.057673
2036,0.057719
2035,0.057826
2034,0.057527
2033,0.057749
2032,0.057571
2031,0.057654
2030,0.057505
2029,0.057727
2028,0.057674
2027,0.057593
2026,0.057254
2025,0.057301
2024,0.057481
2023,0.057406
2022,0.057398
2021,0.057558
2020,0.057376
2019,0.057344
2018,0.057434
2017,0.057317
2016,0.057442
2015,0.057248
2014,0.057439
2013,0.057349
2012,0.057377
2011,0.057431
2010,0.057456
2009,0.057123
2008,0.057363
2007,0.057246
2006,0.057232
2005,0.05727
2004,0.057273
2003,0.057275
2002,0.057222
2001,0.057431
2000,0.057397
1999,0.057346
1998,0.05733
1997,0.057337
1996,0.057176
1995,0.057358
1994,0.057124
1993,0.05731
1992,0.05701
1991,0.057225
1990,0.057136
1989,0.057244
1988,0.057162
1987,0.057146
1986,0.057124
1985,0.05703
1984,0.057139
1983,0.057041
1982,0.057072
1981,0.057218
1980,0.057047
1979,0.05702
1978,0.057039
1977,0.057029
1976,0.057094
1975,0.057164
1974,0.057061
1973,0.057083
1972,0.057062
1971,0.057071
1970,0.057307
1969,0.057171
1968,0.0571
1967,0.057312
1966,0.057162
1965,0.057151
1964,0.057356
1963,0.057168
1962,0.057162
1961,0.057137
1960,0.057252
1959,0.057028
1958,0.057172
1957,0.057239
1956,0.057412
1955,0.057261
1954,0.057366
1953,0.057778
1952,0.057492
1951,0.05758
1950,0.057407
1949,0.057567
1948,0.057428
1947,0.05744
1946,0.057141
1945,0.057233
1944,0.057053
1943,0.056851
1942,0.056888
1941,0.05687
1940,0.057089
1939,0.057185
1938,0.05726
1937,0.057255
1936,0.057402
1935,0.057619
1934,0.057925
1933,0.058405
1932,0.058768
1931,0.059019
1930,0.059339
1929,0.059816
1928,0.059725
1927,0.059182
1926,0.059108
1925,0.059041
1924,0.058986
1923,0.058961
1922,0.059287
